"##Downloaded July 9, 2015 from http://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/ "								
#Name	Transcript	Chromosome	Transcription_Start	Transcription_End	Alpha	Beta	Gamma	Delta
PRKCZ	NM_001242874	chr1	2005424	2116834	1000	1000	55705	55704
PRKCZ	NM_001033582	chr1	2036154	2116834	1000	1000	40340	40339
FAAP20	NM_001256945	chr1	2115898	2126214	1000	1000	5158	5157
FAAP20	NM_001282672	chr1	2115898	2126214	1000	1000	5158	5157
FAAP20	NM_001282671	chr1	2115898	2126214	1000	1000	5158	5157
FAAP20	NM_001282673	chr1	2115898	2126214	1000	1000	5158	5157
FAAP20	NM_001146310	chr1	2115898	2139172	1000	1000	11637	11636
FAAP20	NM_001282670	chr1	2120987	2144159	1000	1000	11586	11585
FAAP20	NM_182533	chr1	2120987	2126214	1000	1000	2613	2613
FAAP20	NM_001256947	chr1	2120987	2126214	1000	1000	2613	2613
FAAP20	NR_046427	chr1	2120987	2126214	1000	1000	2613	2613
FAAP20	NM_001256946	chr1	2123333	2126214	1000	1000	1440	1440
SKI	NM_003036	chr1	2160133	2241652	1000	1000	40759	40759
MORN1	NM_024848	chr1	2252691	2323190	1000	1000	35249	35249
LOC100129534	NR_024489	chr1	2281852	2284100	1000	1000	1124	1123
MORN1	NM_001301060	chr1	2286613	2323190	1000	1000	18288	18288
MORN1	NR_125361	chr1	2306292	2323190	1000	1000	8449	8448
RER1	NM_007033	chr1	2323213	2336885	1000	1000	6836	6835
PEX10	NM_153818	chr1	2336240	2344010	1000	1000	3885	3884
PEX10	NM_002617	chr1	2336240	2344010	1000	1000	3885	3884
PLCH2	NM_001303012	chr1	2398897	2436969	1000	1000	19036	19035
PLCH2	NM_014638	chr1	2407753	2436969	1000	1000	14608	14607
PLCH2	NM_001303013	chr1	2407753	2436969	1000	1000	14608	14607
PANK4	NM_018216	chr1	2439969	2458067	1000	1000	9049	9048
HES5	NM_001010926	chr1	2460183	2461684	1000	1000	750	750
LOC115110	NR_037844	chr1	2481358	2488450	1000	1000	3546	3545
TNFRSF14	NM_003820	chr1	2487803	2497061	1000	1000	4629	4628
TNFRSF14	NM_001297605	chr1	2487803	2497061	1000	1000	4629	4628
LOC100996583	NR_121638	chr1	2497973	2515973	1000	1000	9000	8999
FAM213B	NR_036638	chr1	2517898	2522908	1000	1000	2505	2504
FAM213B	NR_036637	chr1	2517898	2522908	1000	1000	2505	2504
FAM213B	NM_001195741	chr1	2518188	2522908	1000	1000	2360	2359
FAM213B	NM_001195740	chr1	2518188	2522908	1000	1000	2360	2359
FAM213B	NM_001195738	chr1	2518188	2522908	1000	1000	2360	2359
FAM213B	NM_001195737	chr1	2518188	2522908	1000	1000	2360	2359
FAM213B	NM_001195736	chr1	2518188	2522908	1000	1000	2360	2359
FAM213B	NM_152371	chr1	2518188	2522908	1000	1000	2360	2359
MMEL1	NM_033467	chr1	2522080	2564481	1000	1000	21200	21200
TTC34	NM_001242672	chr1	2572806	2706230	1000	1000	7200	11250
ACTRT2	NM_080431	chr1	2938045	2939467	1000	1000	711	710
LINC00982	NR_015440	chr1	2976180	2984289	1000	1000	4054	4054
LINC00982	NR_024371	chr1	2980635	2984289	1000	1000	1827	1826
PRDM16	NM_199454	chr1	2985741	3355185	1000	1000	184722	184721
PRDM16	NM_022114	chr1	2985741	3355185	1000	1000	184722	184721
MIR4251	NR_036215	chr1	3044538	3044599	1000	1000	30	30
ARHGEF16	NM_014448	chr1	3371146	3397677	1000	1000	13265	13265
MEGF6	NM_001409	chr1	3404505	3528059	1000	1000	61777	61776
MIR551A	NR_030277	chr1	3477259	3477354	1000	1000	47	47
TPRG1L	NM_182752	chr1	3541555	3546694	1000	1000	2569	2569
WRAP73	NM_017818	chr1	3547330	3566671	1000	1000	9670	9670
TP73	NM_005427	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001204188	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001204187	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001204186	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001204185	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001204184	chr1	3569128	3652765	1000	1000	41818	41818
TP73	NM_001126242	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001126241	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001204191	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001204190	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001204189	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001126240	chr1	3607235	3652765	1000	1000	22765	22764
TP73	NM_001204192	chr1	3614609	3652765	1000	1000	19078	19077
TP73-AS1	NR_033710	chr1	3652547	3663937	1000	1000	5695	5694
TP73-AS1	NR_033709	chr1	3652547	3663937	1000	1000	5695	5694
TP73-AS1	NR_033708	chr1	3652547	3663937	1000	1000	5695	5694
TP73-AS1	NR_033711	chr1	3652547	3663937	1000	1000	5695	5694
TP73-AS1	NR_033712	chr1	3652547	3663335	1000	1000	5394	5393
CCDC27	NM_152492	chr1	3668964	3688209	1000	1000	9622	9622
SMIM1	NM_001288583	chr1	3689324	3692546	1000	1000	1611	1610
SMIM1	NM_001163724	chr1	3689350	3692546	1000	1000	1598	1597
LRRC47	NM_020710	chr1	3696783	3713068	1000	1000	8142	8142
CEP104	NM_014704	chr1	3728644	3773797	1000	1000	22576	22576
DFFB	NM_001282669	chr1	3773830	3801993	1000	1000	14081	14081
DFFB	NM_004402	chr1	3773830	3801993	1000	1000	14081	14081
DFFB	NR_104222	chr1	3773830	3801993	1000	1000	14081	14081
C1orf174	NM_207356	chr1	3805696	3816857	1000	1000	5580	5580
LINC01134	NR_024455	chr1	3816967	3832011	1000	1000	7522	7521
LINC01346	NR_040065	chr1	4000671	4012643	1000	1000	5986	5985
LOC284661	NR_027088	chr1	4472110	4484744	1000	1000	6317	6316
AJAP1	NM_018836	chr1	4715104	4843851	1000	1000	64373	64373
AJAP1	NM_001042478	chr1	4715104	4837854	1000	1000	61375	61374
MIR4417	NR_039612	chr1	5624130	5624203	1000	1000	36	36
MIR4689	NR_039838	chr1	5922731	5922801	1000	1000	35	34
NPHP4	NM_001291594	chr1	5922867	6052533	1000	1000	64833	64832
NPHP4	NM_001291593	chr1	5922867	6052533	1000	1000	64833	64832
NPHP4	NR_111987	chr1	5922867	6052533	1000	1000	64833	64832
NPHP4	NM_015102	chr1	5922867	6052533	1000	1000	64833	64832
KCNAB2	NM_001199861	chr1	6052357	6161253	1000	1000	54448	54447
KCNAB2	NM_003636	chr1	6086072	6161253	1000	1000	37590	37590
KCNAB2	NM_172130	chr1	6086072	6161253	1000	1000	37590	37590
KCNAB2	NM_001199860	chr1	6094347	6161253	1000	1000	33453	33452
KCNAB2	NM_001199862	chr1	6105980	6161253	1000	1000	27636	27636
KCNAB2	NM_001199863	chr1	6106173	6161253	1000	1000	27540	27539
CHD5	NM_015557	chr1	6161846	6240194	1000	1000	39174	39173
RPL22	NM_000983	chr1	6245079	6259679	1000	1000	7300	7299
LOC102724450	NR_125997	chr1	6264899	6265840	1000	1000	470	470
RNF207	NM_207396	chr1	6266188	6281359	1000	1000	7585	7585
ICMT	NM_012405	chr1	6281252	6296044	1000	1000	7396	7395
LINC00337	NR_103534	chr1	6296299	6299502	1000	1000	1601	1601
HES3	NM_001024598	chr1	6304251	6305638	1000	1000	693	693
GPR153	NM_207370	chr1	6307405	6321035	1000	1000	6815	6814
ACOT7	NM_181865	chr1	6324331	6420764	1000	1000	48216	48216
ACOT7	NM_007274	chr1	6324331	6453826	1000	1000	64747	64747
ACOT7	NM_181864	chr1	6324331	6445883	1000	1000	60776	60775
ACOT7	NM_181866	chr1	6324331	6419004	1000	1000	47336	47336
HES2	NM_019089	chr1	6475293	6479979	1000	1000	2343	2342
ESPN	NM_031475	chr1	6484847	6521004	1000	1000	18078	18078
MIR4252	NR_036218	chr1	6489893	6489956	1000	1000	31	31
TNFRSF25	NM_148965	chr1	6521213	6526255	1000	1000	2521	2520
TNFRSF25	NM_148966	chr1	6521213	6526255	1000	1000	2521	2520
TNFRSF25	NM_003790	chr1	6521213	6526255	1000	1000	2521	2520
TNFRSF25	NM_148970	chr1	6521213	6526255	1000	1000	2521	2520
TNFRSF25	NM_148967	chr1	6521213	6526255	1000	1000	2521	2520
TNFRSF25	NM_001039664	chr1	6524170	6526255	1000	1000	1042	1042
PLEKHG5	NM_020631	chr1	6526151	6551761	1000	1000	12805	12804
PLEKHG5	NM_001042663	chr1	6526151	6557484	1000	1000	15666	15666
PLEKHG5	NM_001265593	chr1	6526151	6545529	1000	1000	9689	9688
PLEKHG5	NM_001265594	chr1	6526151	6550654	1000	1000	12251	12251
PLEKHG5	NM_001042665	chr1	6526151	6546014	1000	1000	9931	9931
PLEKHG5	NM_001042664	chr1	6526151	6550640	1000	1000	12244	12244
PLEKHG5	NM_198681	chr1	6526151	6580121	1000	1000	26985	26984
PLEKHG5	NM_001265592	chr1	6526151	6557156	1000	1000	15502	15502
NOL9	NM_024654	chr1	6581406	6614658	1000	1000	16626	16625
TAS1R1	NM_177540	chr1	6615337	6639817	1000	1000	12240	12239
TAS1R1	NM_138697	chr1	6615337	6639817	1000	1000	12240	12239
ZBTB48	NM_001278648	chr1	6640050	6649340	1000	1000	4645	4644
ZBTB48	NM_001278647	chr1	6640050	6649340	1000	1000	4645	4644
ZBTB48	NM_005341	chr1	6640050	6649340	1000	1000	4645	4644
KLHL21	NM_014851	chr1	6650783	6662958	1000	1000	6087	6087
PHF13	NM_153812	chr1	6673755	6684093	1000	1000	5169	5168
THAP3	NM_001195753	chr1	6684924	6693642	1000	1000	4359	4358
THAP3	NM_001195752	chr1	6685209	6693642	1000	1000	4216	4216
THAP3	NM_138350	chr1	6685209	6695646	1000	1000	5218	5218
DNAJC11	NM_018198	chr1	6694227	6761966	1000	1000	33869	33869
LOC100505887	NR_104620	chr1	6784804	6790072	1000	1000	2634	2633
LOC100505887	NR_104621	chr1	6787586	6790072	1000	1000	1243	1242
CAMTA1	NM_001195563	chr1	6845383	6932107	1000	1000	43362	43361
CAMTA1	NM_015215	chr1	6845383	7829766	1000	1000	492191	492191
CAMTA1	NM_001242701	chr1	6845383	6948261	1000	1000	51439	51438
CAMTA1	NR_038934	chr1	6845383	6948261	1000	1000	51439	51438
VAMP3	NM_004781	chr1	7831328	7841492	1000	1000	5082	5081
PER3	NM_001289861	chr1	7844488	7905240	1000	1000	30376	30375
PER3	NM_001289864	chr1	7844488	7905240	1000	1000	30376	30375
PER3	NM_001289863	chr1	7844488	7905240	1000	1000	30376	30375
PER3	NM_001289862	chr1	7844488	7905240	1000	1000	30376	30375
PER3	NM_016831	chr1	7844488	7905240	1000	1000	30376	30375
UTS2	NM_006786	chr1	7907671	7913104	1000	1000	2716	2716
UTS2	NM_021995	chr1	7907671	7913551	1000	1000	2940	2939
TNFRSF9	NM_001561	chr1	7975930	8003225	1000	1000	13647	13647
PARK7	NM_007262	chr1	8021713	8045342	1000	1000	11814	11814
PARK7	NM_001123377	chr1	8021713	8045342	1000	1000	11814	11814
ERRFI1	NM_018948	chr1	8071778	8086393	1000	1000	7307	7307
LOC102724539	NR_125998	chr1	8268731	8275268	1000	1000	3268	3268
SLC45A1	NM_001080397	chr1	8378144	8404227	1000	1000	13041	13041
RERE	NM_001042682	chr1	8412463	8483747	1000	1000	35642	35641
RERE	NM_001042681	chr1	8412463	8877699	1000	1000	232618	232617
RERE	NM_012102	chr1	8412463	8877699	1000	1000	232618	232617
LOC102724552	NR_125999	chr1	8484704	8495076	1000	1000	5186	5185
ENO1	NM_001201483	chr1	8921058	8931635	1000	1000	5288	5288
ENO1	NM_001428	chr1	8921058	8939151	1000	1000	9046	9046
MIR6728	NR_106786	chr1	8926560	8926649	1000	1000	44	44
ENO1-AS1	NR_038351	chr1	8938893	8939943	1000	1000	525	524
CA6	NM_001270501	chr1	9005892	9035148	1000	1000	14628	14627
CA6	NM_001270502	chr1	9005892	9035148	1000	1000	14628	14627
CA6	NM_001270500	chr1	9005892	9034503	1000	1000	14305	14305
CA6	NM_001215	chr1	9005892	9035148	1000	1000	14628	14627
SLC2A7	NM_207420	chr1	9063358	9086404	1000	1000	11523	11522
SLC2A5	NM_003039	chr1	9097004	9129887	1000	1000	16441	16441
SLC2A5	NM_001135585	chr1	9101426	9129887	1000	1000	14230	14230
GPR157	NM_024980	chr1	9164475	9189229	1000	1000	12377	12376
MIR34A	NR_029610	chr1	9211726	9211836	1000	1000	55	54
H6PD	NM_004285	chr1	9294862	9331394	1000	1000	18266	18265
H6PD	NM_001282587	chr1	9299902	9331394	1000	1000	15746	15745
SPSB1	NM_025106	chr1	9352940	9429590	1000	1000	38325	38324
LOC100506022	NR_104623	chr1	9485152	9488975	1000	1000	1911	1911
LOC100506022	NR_104622	chr1	9485152	9489055	1000	1000	1951	1951
SLC25A33	NM_032315	chr1	9599527	9642831	1000	1000	21652	21651
TMEM201	NM_001010866	chr1	9648931	9665020	1000	1000	8044	8044
TMEM201	NM_001130924	chr1	9648931	9674935	1000	1000	13002	13001
PIK3CD	NM_005026	chr1	9711789	9789172	1000	1000	38691	38691
PIK3CD-AS1	NR_027045	chr1	9712667	9714644	1000	1000	988	988
PIK3CD-AS2	NR_126367	chr1	9732483	9747632	1000	1000	7574	7574
PIK3CD-AS2	NR_126366	chr1	9732483	9747632	1000	1000	7574	7574
PIK3CD-AS2	NR_126368	chr1	9740902	9747632	1000	1000	3365	3364
CLSTN1	NM_001009566	chr1	9789078	9884584	1000	1000	47753	47752
CLSTN1	NM_014944	chr1	9789078	9884584	1000	1000	47753	47752
CLSTN1	NM_001302883	chr1	9789078	9884584	1000	1000	47753	47752
CTNNBIP1	NM_001012329	chr1	9908333	9970316	1000	1000	30991	30991
CTNNBIP1	NM_020248	chr1	9908333	9970316	1000	1000	30991	30991
LZIC	NM_032368	chr1	9989775	10002826	1000	1000	6525	6525
NMNAT1	NM_001297778	chr1	10002980	10045556	1000	1000	21288	21287
NMNAT1	NM_001297779	chr1	10003485	10041824	1000	1000	19169	19169
NMNAT1	NM_022787	chr1	10003485	10045556	1000	1000	21035	21035
MIR5697	NR_049882	chr1	10027438	10027516	1000	1000	39	38
RBP7	NM_052960	chr1	10057254	10076078	1000	1000	9412	9411
UBE4B	NM_006048	chr1	10093040	10241296	1000	1000	74128	74127
UBE4B	NM_001105562	chr1	10093040	10241296	1000	1000	74128	74127
KIF1B	NM_183416	chr1	10270763	10368655	1000	1000	48946	48945
KIF1B	NM_015074	chr1	10270763	10441661	1000	1000	85449	85448
RNU6-2	NR_125730	chr1	10359023	10359128	1000	1000	52	52
PGD	NM_001304451	chr1	10459048	10480568	1000	1000	10760	10759
PGD	NM_002631	chr1	10459048	10480568	1000	1000	10760	10759
PGD	NM_001304452	chr1	10459174	10480568	1000	1000	10697	10696
APITD1-CORT	NM_198544	chr1	10490158	10512060	1000	1000	10951	10950
APITD1-CORT	NM_199006	chr1	10490158	10512060	1000	1000	10951	10950
APITD1	NM_199294	chr1	10490158	10502872	1000	1000	6357	6356
APITD1-CORT	NM_001270517	chr1	10490158	10512060	1000	1000	10951	10950
APITD1-CORT	NM_001243768	chr1	10490803	10512060	1000	1000	10628	10628
APITD1	NR_036462	chr1	10490803	10502872	1000	1000	6034	6034
APITD1-CORT	NR_037187	chr1	10490803	10512060	1000	1000	10628	10628
CORT	NM_001302	chr1	10509775	10512060	1000	1000	1142	1142
DFFA	NM_213566	chr1	10520602	10532613	1000	1000	6005	6005
DFFA	NM_004401	chr1	10520602	10532613	1000	1000	6005	6005
PEX14	NM_004565	chr1	10535002	10690815	1000	1000	77906	77906
CASZ1	NM_001079843	chr1	10696665	10856733	1000	1000	80034	80033
CASZ1	NM_017766	chr1	10707262	10856733	1000	1000	74735	74735
C1orf127	NM_001170754	chr1	11006529	11042094	1000	1000	17782	17782
TARDBP	NM_007375	chr1	11072678	11085549	1000	1000	6435	6435
MASP2	NM_006610	chr1	11086579	11107296	1000	1000	10358	10358
MASP2	NM_139208	chr1	11104854	11107296	1000	1000	1221	1220
SRM	NM_003132	chr1	11114648	11120091	1000	1000	2721	2721
EXOSC10	NM_002685	chr1	11126669	11159967	1000	1000	16649	16648
EXOSC10	NM_001001998	chr1	11126669	11159967	1000	1000	16649	16648
MTOR	NM_004958	chr1	11166587	11322608	1000	1000	78010	78010
MTOR-AS1	NR_046600	chr1	11203954	11209595	1000	1000	2820	2820
ANGPTL7	NM_021146	chr1	11249345	11256038	1000	1000	3346	3346
UBIAD1	NM_013319	chr1	11333254	11348491	1000	1000	7618	7618
PTCHD2	NM_020780	chr1	11539294	11597640	1000	1000	29173	29172
LOC101929181	NR_104624	chr1	11669587	11673411	1000	1000	1912	1911
FBXO2	NM_012168	chr1	11708417	11714888	1000	1000	3235	3235
FBXO44	NM_001304791	chr1	11714431	11723384	1000	1000	4476	4476
FBXO44	NM_183412	chr1	11714431	11723384	1000	1000	4476	4476
FBXO44	NM_001014765	chr1	11714913	11723384	1000	1000	4235	4235
FBXO44	NM_001304790	chr1	11714913	11723384	1000	1000	4235	4235
